Kecamatan,Desa,Kepadatan Penduduk,Hotel,Penginapan,Menara BTS,Bank Pemerintah,Bank Swasta,BPR,KUD,Kopinkra,Kospin,Koperasi Lainnya,Kelompok Pertokoan,Pasar Bangunan Permanen,Pasar Bangunan Semi Permanen,Pasar Tanpa Bangunan,Mini Market,Restoran,Jarak Pasar Ubud,Pasar Sukawati,Alun-Alun Gianyar,Tahun,Cluster,Kategori
Blahbatuh,Saba,1493.0,0,28,3,0,0,5,0,0,6,3,0,0,0,0,5,5,13.0,3.9,8.9,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Pering,1428.0,0,6,4,0,0,6,0,0,1,5,0,0,0,0,4,1,17.2,5.8,10.6,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Keramas,2017.0,3,10,4,1,0,1,0,0,7,6,1,1,0,0,9,4,13.8,9.1,4.4,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Medahan,1569.0,1,10,2,0,0,1,0,0,2,3,0,1,0,0,6,6,14.7,10.4,4.4,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Bona,2113.0,0,3,3,0,0,1,0,0,2,9,1,1,0,0,1,0,13.0,8.3,3.0,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Belega,2113.0,0,0,1,0,0,2,0,0,1,8,0,0,0,0,5,1,11.9,7.2,5.3,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Blahbatuh,2278.0,0,4,4,1,1,7,1,0,5,12,1,2,0,1,8,3,10.3,5.7,5.7,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Buruan,1634.0,0,0,1,0,0,14,0,0,17,0,0,0,0,0,6,2,9.3,7.7,3.9,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Bedulu,2468.0,0,10,2,1,0,6,0,0,4,11,1,2,0,2,8,6,5.5,11.1,5.6,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Lebih,3731.0,1,1,3,1,0,2,0,0,12,1,0,1,1,0,5,3,15.2,12.2,4.4,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Tulikup,1628.0,1,1,6,0,0,2,0,0,12,1,1,1,0,0,6,3,15.0,15.3,4.6,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Temesi,1298.0,0,0,1,0,0,1,1,0,5,3,0,0,0,0,5,2,15.5,17.9,5.1,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Sidan,2557.0,0,0,4,0,0,1,0,0,1,7,0,0,2,0,2,2,15.2,19.0,4.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Samplangan,2114.0,0,6,2,0,0,4,0,0,5,2,0,1,0,0,6,1,12.2,13.5,2.2,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Serongga,3040.0,1,0,3,0,0,1,0,0,0,5,0,0,1,0,2,0,14.8,14.9,3.9,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Abianbase,1534.0,1,0,3,0,0,2,0,0,1,4,1,0,2,0,3,5,12.9,11.5,1.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Gianyar,6841.0,1,5,10,10,6,5,0,0,33,10,7,1,1,1,18,7,10.8,13.4,0.85,2021,2,Cluster Desa Maju Perkotaan
Gianyar,Beng,2032.0,0,0,1,0,0,1,0,0,1,8,1,0,2,0,9,1,10.9,13.6,1.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Bitera,1782.0,1,0,2,1,0,4,2,0,4,7,0,1,0,0,1,4,8.9,12.3,2.2,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Bakbakan,1237.0,0,3,2,0,0,2,0,0,8,6,0,0,0,0,1,0,10.8,15.4,4.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Siangan,1795.0,0,7,3,0,0,5,1,0,5,6,0,0,1,0,2,0,10.8,13.4,5.9,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Suwat,854.0,0,0,0,0,0,2,0,0,2,4,0,0,1,0,1,0,11.5,18.2,8.5,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Petak,1271.0,1,2,1,0,0,5,0,0,2,2,0,0,0,1,0,1,14.6,19.1,8.6,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Petak Kaja,1252.0,0,0,2,0,0,3,0,0,4,1,0,0,1,0,3,0,15.3,22.2,11.6,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Sumita,1642.0,0,0,1,0,0,1,0,0,1,7,0,0,0,0,0,0,13.8,20.5,10.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Gianyar,Tegal Tugu,3452.0,0,0,2,0,0,1,0,0,5,2,0,0,0,0,1,0,12.9,15.3,2.3,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Payangan,Melinggih Kelod,963.0,4,8,2,1,0,4,0,0,1,8,0,0,0,0,2,2,8.7,20.2,20.2,2021,1,Cluster Desa Perlu Dibantu
Payangan,Melinggih,1540.0,0,2,3,4,0,6,1,0,1,3,5,1,1,2,5,1,11.2,22.7,22.7,2021,1,Cluster Desa Perlu Dibantu
Payangan,Kelusa,737.0,1,12,2,0,0,3,0,0,11,0,0,0,0,0,0,0,9.5,19.9,19.6,2021,1,Cluster Desa Perlu Dibantu
Payangan,Beresela,934.0,1,7,1,0,0,1,0,0,0,5,0,0,0,0,2,3,12.1,22.0,21.7,2021,1,Cluster Desa Perlu Dibantu
Payangan,Bukian,822.0,0,1,1,0,0,8,0,0,14,3,0,0,0,0,2,0,15.5,27.0,26.9,2021,1,Cluster Desa Perlu Dibantu
Payangan,Puhu,435.0,4,0,2,0,0,6,0,0,6,1,0,1,0,0,3,0,16.3,27.8,27.8,2021,1,Cluster Desa Perlu Dibantu
Payangan,Buahan,404.0,3,1,1,0,0,5,0,0,0,8,0,1,0,0,0,0,16.6,28.1,28.1,2021,1,Cluster Desa Perlu Dibantu
Payangan,Buahan Kaja,416.0,0,3,1,0,0,8,0,0,0,2,0,1,0,0,0,0,23.6,35.0,35.0,2021,1,Cluster Desa Perlu Dibantu
Payangan,Kerta,388.0,0,4,3,0,0,8,0,0,3,2,0,1,0,0,0,0,27.0,38.5,38.4,2021,1,Cluster Desa Perlu Dibantu
Sukawati,Batubulan,3389.0,0,6,12,4,1,14,0,0,5,37,4,7,0,2,29,40,13.2,6.0,17.4,2021,2,Cluster Desa Maju Perkotaan
Sukawati,Batubulan Kangin,2778.0,0,0,3,0,0,2,0,0,2,10,0,2,0,0,0,0,13.4,3.4,14.7,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Ketewel,1689.0,0,10,6,2,0,3,0,0,2,18,0,1,1,0,9,4,16.4,5.0,14.1,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Guwang,1440.0,0,1,2,0,0,1,0,1,1,10,1,2,0,0,4,3,14.0,2.5,14.6,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Sukawati,1762.0,0,10,4,6,1,9,1,0,3,19,3,5,0,2,5,27,11.4,0.021,11.3,2021,0,Cluster Desa Maju Pariwisata
Sukawati,Celuk,1488.0,0,3,3,0,0,4,0,0,2,6,0,2,0,0,2,0,11.7,1.9,13.2,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Singapadu,1661.0,0,3,4,3,0,4,0,0,3,8,1,1,0,0,8,3,10.3,4.2,14.5,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Singapadu Tengah,1634.0,0,13,3,0,0,5,0,0,3,9,0,1,0,0,11,2,8.8,5.6,12.9,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Singapadu Kaler,1938.0,0,5,4,1,0,3,0,0,4,8,0,1,0,0,9,7,6.9,7.2,11.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Batuan,2168.0,0,14,2,0,0,4,0,0,3,24,2,1,0,0,2,3,9.5,2.0,10.7,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Batuan Kaler,1707.0,0,2,1,1,0,1,0,0,7,4,0,0,0,0,5,5,7.9,3.6,9.1,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Sukawati,Kemenuh,1380.0,2,92,3,0,0,7,0,0,5,15,3,1,0,0,5,9,8.8,4.1,7.2,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kawan,1465.09,0,29,1,0,0,1,0,0,0,7,0,0,0,0,0,0,2.7,12.3,8.5,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng,2155.87,0,11,2,1,0,3,1,0,8,6,3,2,0,1,7,4,4.0,12.5,7.4,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kelod,1328.16,0,6,4,0,0,5,0,0,1,3,0,1,0,0,2,0,5.6,12.9,5.7,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kangin,1437.93,1,8,4,0,0,5,0,0,0,8,0,0,0,0,3,0,7.8,16.2,9.0,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kaja,1479.16,2,9,4,0,0,4,0,0,3,10,0,1,0,0,2,0,7.7,16.9,11.8,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Sanding,1029.82,0,4,1,0,0,1,0,0,2,7,1,0,1,0,3,1,8.8,18.8,13.7,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Tampaksiring,1317.74,2,3,4,4,0,7,0,0,0,13,5,1,0,1,13,6,12.7,22.7,16.9,2021,1,Cluster Desa Perlu Dibantu
Tampaksiring,Manukaya,832.62,0,0,5,0,0,10,0,0,4,13,2,1,0,0,4,5,14.8,24.8,19.0,2021,1,Cluster Desa Perlu Dibantu
Tegallalang,Keliki,1049.0,10,71,1,0,0,2,0,0,12,10,0,0,0,1,1,4,10.5,20.1,19.8,2021,1,Cluster Desa Perlu Dibantu
Tegallalang,Tegallalang,1930.0,4,12,6,2,0,8,0,0,7,11,7,2,1,0,12,10,8.7,18.3,17.9,2021,0,Cluster Desa Maju Pariwisata
Tegallalang,Kenderan,838.0,3,30,3,0,0,3,0,0,10,4,0,0,0,0,0,0,7.8,17.4,17.0,2021,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
